# label: Name Roots Loanwords
kanji	hiragana	type	english
フーディーニ	フーディーニ	noun	Houdini
ペルシャ	ペルシャ	noun	Persia; Persian
ユンゲラー	ユンゲラー	noun	Jung
ラプラス	ラプラス	noun	Laplace
ラフレシア	ラフレシア	noun	Rafflesia
カイロス	カイロス	noun	Kairos (name-root; also ‘opportune moment’ in Greek)
カラ	カラ	noun	shell; empty (name-root)
ガラ	ガラ	noun	pattern; design; also ‘rattle’ nuance (name-root)
ギャロップ	ギャロップ	noun	gallop
キング	キング	noun	king
クイーン	クイーン	noun	queen
クラブ	クラブ	noun	club; crab (name-root; often ‘crab’ in Pokémon)
ケーシー	ケーシー	noun	Casey (name-root)
ゲンガー	ゲンガー	noun	Gengar (name-root)
コクーン	コクーン	noun	cocoon
サンダー	サンダー	noun	thunder
サンド	サンド	noun	sand
シー	シー	noun	sea / ‘C’ (name-root)
シェル	シェル	noun	shell
スピア	スピア	noun	spear
セル	セル	noun	cell (name-root; generic ‘cell’)
ダグ	ダグ	noun	dug / dig (name-root)
ツー	ツー	noun	two / ‘2’ (name-root)
ディグ	ディグ	noun	dig
ニードル	ニードル	noun	needle
パール	パール	noun	pearl
パウ	パウ	noun	pow / ‘paw’ (name-root)
