# Everyday phrases — politeness and survival expressions, pan-Hispanic.
spanish	type	english
por favor	phrase	please
gracias	phrase	thank you
de nada	phrase	you're welcome
perdón	phrase	sorry; excuse me
lo siento	phrase	I'm sorry
con permiso	phrase	excuse me (passing through)
claro	phrase	of course; sure
por supuesto	phrase	of course
no sé	phrase	I don't know
no entiendo	phrase	I don't understand
¿cuánto cuesta?	phrase	how much does it cost?
está bien	phrase	it's okay; that's fine
tengo hambre	phrase	I'm hungry
tengo sed	phrase	I'm thirsty
