# label: Qualities & Description
# Qualities & description — physical/sensory qualities and general descriptors.
# Belongs here: sensory/physical qualities (綺麗, 清潔, 滑らか, 静か, 新鮮),
# and broad descriptors that don't fit another theme (変, 様々, 別, 急, 主).
# This is the catch-all; prefer a more specific theme when one fits.
kanji	hiragana	type	english	breakdown
滑らか	なめらか	na-adjective	smooth; fluent	[滑: smooth/slippery]
清らか	きよらか	na-adjective	pure; clean (poetic)	[清: pure/clear]
綺麗	きれい	na-adjective	pretty; beautiful; clean	[綺: beautiful/elegant | 麗: lovely/graceful]
清潔	せいけつ	na-adjective	clean; sanitary	[清: pure/clean | 潔: pure/clean]
不思議	ふしぎ	na-adjective	mysterious; strange; wonder	[不: not/un- | 思: think | 議: deliberate/discuss]
静か	しずか	na-adjective	quiet	[静: quiet/calm]
賑やか	にぎやか	na-adjective	lively; bustling	[賑: bustling/lively]
新鮮	しんせん	na-adjective	fresh	[新: new | 鮮: fresh/vivid]
変	へん	na-adjective	strange; weird; odd	[変: strange/change]
別	べつ	na-adjective	separate; different; another	[別: separate/distinct]
急	きゅう	na-adjective	sudden; urgent; steep	[急: sudden/hurry]
様々	さまざま	na-adjective	various; varied	[様: manner/kind]
健康	けんこう	na-adjective	healthy; healthful	[健: healthy/robust | 康: ease/wellbeing]
主	おも	na-adjective	main; principal; chief	[主: main/principal]
盛ん	さかん	na-adjective	prosperous; thriving; popular	[盛: flourish/prosper]
有名	ゆうめい	na-adjective	famous; well-known	[有: have/exist | 名: name/fame]
丈夫	じょうぶ	na-adjective	sturdy; durable; robust	[丈: stature/strength | 夫: man]
平和	へいわ	na-adjective	peaceful	[平: peace/level | 和: harmony/peace]
偉大	いだい	na-adjective	great; grand; mighty	[偉: great/admirable | 大: big/grand]
濃厚	のうこう	na-adjective	rich; thick; dense	[濃: thick/dense | 厚: thick/rich]
妙	みょう	na-adjective	strange; odd; peculiar	[妙: strange/exquisite]
絶妙	ぜつみょう	na-adjective	exquisite; superb	[絶: utmost/superb | 妙: exquisite/clever]
密接	みっせつ	na-adjective	close; intimate (connection)	[密: close/dense | 接: contact/adjoin]
巨大	きょだい	na-adjective	huge; gigantic	[巨: huge/giant | 大: big/grand]
大幅	おおはば	na-adjective	drastic; substantial (change)	[大: big/large | 幅: width/range]
温暖	おんだん	na-adjective	warm; mild (climate)	[温: warm | 暖: warm]
柔軟	じゅうなん	na-adjective	flexible; supple	[柔: soft/supple | 軟: soft/flexible]
円滑	えんかつ	na-adjective	smooth; harmonious	[円: round/smooth | 滑: smooth/glide]
手狭	てぜま	na-adjective	cramped; too small (of space)	[手: hand | 狭: narrow/cramped]
簡潔	かんけつ	na-adjective	concise; brief	[簡: brief/simple | 潔: clean/concise]
粗末	そまつ	na-adjective	crude; shabby; poor	[粗: coarse/crude | 末: end/trifling]
華やか	はなやか	na-adjective	gorgeous; showy; brilliant	[華: splendor/flower]
華麗	かれい	na-adjective	splendid; magnificent; gorgeous	[華: splendor/flower | 麗: lovely/magnificent]
蒼白	そうはく	na-adjective	pale; pallid	[蒼: pale/blue | 白: white]
虚弱	きょじゃく	na-adjective	frail; weak; sickly	[虚: empty/feeble | 弱: weak]
奇妙	きみょう	na-adjective	strange; odd; curious	[奇: strange/odd | 妙: peculiar/exquisite]
鋭利	えいり	na-adjective	sharp; keen	[鋭: sharp/keen | 利: sharp/keen]
雄大	ゆうだい	na-adjective	grand; magnificent; majestic	[雄: grand/heroic | 大: big/grand]
顕著	けんちょ	na-adjective	remarkable; marked; striking	[顕: manifest/evident | 著: marked/notable]
鮮やか	あざやか	na-adjective	vivid; brilliant; skillful	[鮮: vivid/fresh]
鮮明	せんめい	na-adjective	clear; vivid; distinct	[鮮: vivid/fresh | 明: bright/clear]
頑丈	がんじょう	na-adjective	sturdy; robust; tough	[頑: sturdy/stubborn | 丈: stature/strength]
