# Godan verbs — u ending.
# Godan verbs ending in 〜う (買う, 使う, 言う…). Dictionary forms only.
kanji	hiragana	type	english
買う	かう	godan-verb	to buy
会う	あう	godan-verb	to meet
話し合う	はなしあう	godan-verb	to discuss; to talk together
語り合う	かたりあう	godan-verb	to talk together; exchange stories
助け合う	たすけあう	godan-verb	to help each other
分け合う	わけあう	godan-verb	to share; to divide among
言い合う	いいあう	godan-verb	to tell each other; to argue/exchange words
折り合う	おりあう	godan-verb	to compromise; to come to terms
呼び合う	よびあう	godan-verb	to call to one another; to call each other
触れ合う	ふれあう	godan-verb	to come into contact; to interact
取り合う	とりあう	godan-verb	to compete for; to take in turns; to deal with
協力し合う	きょうりょくしあう	godan-verb	to cooperate with one another
出会う	であう	godan-verb	to meet (by chance)
見失う	みうしなう	godan-verb	to lose sight of; to miss
闘う	たたかう	godan-verb	to fight; to battle
言う	いう	godan-verb	to say
使う	つかう	godan-verb	to use
洗う	あらう	godan-verb	to wash
思う	おもう	godan-verb	to think
向かう	むかう	godan-verb	to head toward
失う	うしなう	godan-verb	to lose
笑う	わらう	godan-verb	to smile; to laugh
迷う	まよう	godan-verb	to hesitate; to be unsure
通う	かよう	godan-verb	to commute to; to attend regularly
覆う	おおう	godan-verb	to cover; to cloak
