# Godan verbs — gu ending.
# Godan verbs ending in 〜ぐ (泳ぐ, 急ぐ, 脱ぐ…). Dictionary forms only.
kanji	hiragana	type	english
泳ぐ	およぐ	godan-verb	to swim
急ぐ	いそぐ	godan-verb	to hurry
脱ぐ	ぬぐ	godan-verb	to take off (clothes)
防ぐ	ふせぐ	godan-verb	to prevent; to defend
稼ぐ	かせぐ	godan-verb	to earn (money)
騒ぐ	さわぐ	godan-verb	to make noise; to make a fuss
繋ぐ	つなぐ	godan-verb	to connect; to link
注ぐ	そそぐ	godan-verb	to pour; to devote (effort)
研ぐ	とぐ	godan-verb	to sharpen; to polish
濯ぐ	すすぐ	godan-verb	to rinse
嗅ぐ	かぐ	godan-verb	to smell; to sniff
継ぐ	つぐ	godan-verb	to succeed; to inherit
塞ぐ	ふさぐ	godan-verb	to block; to close up
担ぐ	かつぐ	godan-verb	to shoulder; to carry
剥ぐ	はぐ	godan-verb	to peel off
仰ぐ	あおぐ	godan-verb	to look up (to); to revere
漕ぐ	こぐ	godan-verb	to row; to pedal
貢ぐ	みつぐ	godan-verb	to contribute; to support
紡ぐ	つむぐ	godan-verb	to spin (thread); to weave; to build (a story)
削ぐ	そぐ	godan-verb	to shave off; to pare down
ぬぐ	ぬぐ	godan-verb	to take off; to remove
