kanji	hiragana	type	english
金槌	かなづち	noun	hammer
釘	くぎ	noun	nail
鋸	のこぎり	noun	saw
巻尺	まきじゃく	noun	tape measure
梯子	はしご	noun	ladder
作業台	さぎょうだい	noun	workbench
砥石	といし	noun	whetstone
接着剤	せっちゃくざい	noun	adhesive; glue
懐中電灯	かいちゅうでんとう	noun	flashlight
安全眼鏡	あんぜんめがね	noun	safety glasses
機械	きかい	noun	machine
探知機	たんちき	noun	detector
部品	ぶひん	noun	parts; components
道具	どうぐ	noun	tool
万年筆	まんねんひつ	noun	fountain pen
設備	せつび	noun	facilities; equipment
装備	そうび	noun	equipment; gear
日本刀	にほんとう	noun	Japanese sword
短刀	たんとう	noun	short sword; dagger
刃	は	noun	blade; edge
刃物	はもの	noun	bladed tool; cutlery
判子	はんこ	noun	seal; name stamp
双眼鏡	そうがんきょう	noun	binoculars
顕微鏡	けんびきょう	noun	microscope
朱肉	しゅにく	noun	red ink pad (for seals)
器械	きかい	noun	instrument; apparatus
槌	つち	noun	mallet; hammer
棒	ぼう	noun	stick; pole; rod
爪切り	つめきり	noun	nail clippers
看板	かんばん	noun	signboard; sign
釣り竿	つりざお	noun	fishing rod
筒	つつ	noun	tube; cylinder; pipe
水筒	すいとう	noun	water bottle; canteen
栓	せん	noun	stopper; plug; cork
栓抜き	せんぬき	noun	bottle opener
円盤	えんばん	noun	disk; discus
筆	ふで	noun	writing brush
鉛筆	えんぴつ	noun	pencil
