# places buildings kanji (N2).
kanji	onyomi	kunyomi	meaning	radical	radical-name	components	strokes	grade
島	トウ	しま	island	山	やま	鳥、山	10	3
村	ソン	むら	village	木	きへん	木、寸	7	1
門	モン	かど	gate	門	もんがまえ		8	2
戸	コ	と	door; house	戸	とびらのと		4	2
寺	ジ	てら	temple	寸	すん	土、寸	6	2
橋	キョウ	はし	bridge	木	きへん	木、喬	16	3
階	カイ		floor; stairs; rank	阝	こざとへん	阝、皆	12	3
区	ク		ward; district	匚	はこがまえ	匚、㐅	4	3
坂	ハン	さか	slope; hill	土	つちへん	土、反	7	3
塔	トウ		tower; pagoda	土	つちへん	土、荅	12
庫	コ、ク		storehouse; warehouse	广	まだれ	广、車	10	3
床	ショウ	とこ、ゆか	floor; bed	广	まだれ	广、木	7
蔵	ゾウ	くら	storehouse; to store	艹	くさかんむり	艹、臣、戈	15	6
奥	オウ	おく	interior; inner part; deep	大	だい	米、冂、大	12
央	オウ		center; middle	大	だい	冂、大	5	3
隅		すみ	corner; nook	阝	こざとへん	阝、禺	12
里	リ	さと	village; ri (distance)	里	さと		7	2
郊	コウ		suburbs; outskirts	阝	おおざと	交、阝	9	6
駐	チュウ		to stop; to park; resident	馬	うまへん	馬、主	15
周	シュウ	まわ(り)	circumference; lap; around	口	くち	冂、土、口	8	4
底	テイ	そこ	bottom; base	广	まだれ	广、氐	8	4
阪	ハン	さか	slope; Osaka	阝	こざとへん	阝、反	7	4
