# nature weather kanji (N2).
kanji	onyomi	kunyomi	meaning	radical	radical-name	components	strokes	grade
波	ハ	なみ	wave	氵	さんずい	氵、皮	8	3
雲	ウン	くも	cloud	雨	あめかんむり	雨、云	12	2
氷	ヒョウ	こおり、ひ	ice	水	みず	丶、水	5	3
炭	タン	すみ	charcoal; coal	火	ひ	山、厂、火	9	3
灰	カイ	はい	ash; ashes	火	ひ	厂、火	6	6
砂	サ、シャ	すな	sand	石	いしへん	石、少	9	6
泥	デイ	どろ	mud; mire	氵	さんずい	氵、尼	8
緑	リョク、ロク	みどり	green	糸	いとへん	糸、彔	14	3
黄	コウ、オウ	き、こ	yellow	黄	き		11	2
紅	コウ、ク	べに、くれない	crimson; deep red	糸	いとへん	糸、工	9	6
涼	リョウ	すず(しい)、すず(む)	cool; refreshing	氵	さんずい	氵、京	11
湿	シツ	しめ(る)、しめ(す)	damp; humid; to moisten	氵	さんずい	氵、㬉	12
蒸	ジョウ	む(す)、む(れる)、む(らす)	to steam; to be sultry	艹	くさかんむり	艹、烝	13	6
燥	ソウ		dry; parch	火	ひへん	火、喿	17
曇	ドン	くも(る)	cloudy; to become dim	日	ひ	日、雲	16
星	セイ、ショウ	ほし	star	日	ひ	日、生	9	2
香	コウ、キョウ	か、かお(り)、かお(る)	fragrance; scent	香	かおり	禾、日	9	4
震	シン	ふる(える)、ふる(う)	to shake; to tremble; quake	雨	あめかんむり	雨、辰	15
闇		やみ	darkness; black market	門	もんがまえ	門、音	17
滴	テキ	しずく、したた(る)	drop; drip; to trickle	氵	さんずい	氵、啇	14
