# Abstract quality & virtue kanji (N2, grade 4).
kanji	onyomi	kunyomi	meaning	radical	radical-name	components	strokes	grade
愛	アイ		love; affection	心	こころ	爫、冖、心、夂	13	4
以	イ		by means of; from; than	人	ひと	㠯、人	5	4
位	イ	くらい	rank; position; grade	亻	にんべん	亻、立	7	4
囲	イ	かこ(む)、かこ(う)	to surround; to enclose	囗	くにがまえ	囗、井	7	4
固	コ	かた(い)、かた(める)	hard; firm; to harden	囗	くにがまえ	囗、古	8	4
完	カン		complete; perfect	宀	うかんむり	宀、元	7	4
希	キ		hope; rare	巾	はば	㐅、巾	7	4
好	コウ	す(く)、この(む)	to like; favorable	女	おんなへん	女、子	6	4
約	ヤク		promise; approximately; to reduce	糸	いとへん	糸、勺	9	4
未	ミ		not yet; un-	木	き	一、木	5	4
無	ム、ブ	な(い)	nothing; without	灬	れっか	無、灬	12	4
令	レイ		command; order; rule	人	ひとやね	𠆢、卩	5	4
良	リョウ	よ(い)	good; fine	艮	こん	丶、艮	7	4
栄	エイ	さか(える)、は(える)	glory; to flourish	木	き	⺍、冖、木	9	4
勇	ユウ	いさ(む)	courage; bravery	力	ちから	甬、力	9	4
