# arts media kanji (N2).
kanji	onyomi	kunyomi	meaning	radical	radical-name	components	strokes	grade
像	ゾウ		image; statue; figure	亻	にんべん	亻、象	14	5
芸	ゲイ		art; craft; performance	艹	くさかんむり	艹、云	7	4
編	ヘン	あ(む)	to compile; to knit	糸	いとへん	糸、扁	15	5
録	ロク		to record; record	金	かねへん	金、彔	16	4
著	チョ	あらわ(す)、いちじる(しい)	to write; remarkable	艹	くさかんむり	艹、者	11	6
誌	シ		magazine; journal	言	ごんべん	言、志	14	6
劇	ゲキ		drama; play; intense	刂	りっとう	豦、刂	15	6
詞	シ		part of speech; words	言	ごんべん	言、司	12	6
踊	ヨウ	おど(る)、おど(り)	to dance; to jump	足	あしへん	足、甬	14
賢	ケン	かしこ(い)	wise; clever; intelligent	貝	かい	臤、貝	16
章	ショウ		chapter; badge	立	たつ	音、十	11	3
版	ハン		printing block; edition	片	かたへん	片、反	8	5
印	イン	しるし	mark; seal; stamp	卩	ふしづくり	𠂒、卩	6	4
筆	ヒツ	ふで	writing brush; pen	竹	たけかんむり	竹、聿	12	3
刊	カン		publication; to publish	刂	りっとう	干、刂	5	5
