# shape state kanji (N2).
kanji	onyomi	kunyomi	meaning	radical	radical-name	components	strokes	grade
型	ケイ	かた	model; type; mold	土	つち	刑、土	9	4
再	サイ、サ	ふたた(び)	again; twice; re-	冂	けいがまえ	一、冂、土	6	5
細	サイ	ほそ(い)、こま(かい)	thin; detailed	糸	いとへん	糸、田	11	2
清	セイ、ショウ	きよ(い)、きよ(める)	pure; clear	氵	さんずい	氵、青	11	4
旧	キュウ		old times; former	日	ひ	丨、日	5	5
翌	ヨク		the following (day); next	羽	はね	羽、立	11	6
温	オン	あたた(かい)、あたた(める)	warm; temperature	氵	さんずい	氵、昷	12	3
軽	ケイ	かる(い)	light (weight)	車	くるまへん	車、圣	12	3
片	ヘン	かた	one side; fragment; piece	片	かた		4	6
角	カク	かど、つの	corner; angle; horn	角	つの		7	2
浅	セン	あさ(い)	shallow	氵	さんずい	氵、戔	9	4
薄	ハク	うす(い)	thin; weak; to dilute	艹	くさかんむり	艹、溥	16
