# label: Discourse & Sequence
# Discourse & sequence adverbs — words that organize or frame a statement.
# Belongs here: connectives and ordering words (例えば, 最初に, 最後に) and
# emphasis/interjection-like adverbs (一体, ああ).
kanji	hiragana	type	english	breakdown
例えば	たとえば	adverb	for example	[例: example/instance]
最初に	さいしょに	adverb	first; at the beginning	[最: most/-est | 初: first/beginning]
最後に	さいごに	adverb	finally; at the end	[最: most/-est | 後: after/behind]
一体	いったい	adverb	on earth; in the world (emphasis in questions)	[一: one | 体: body/whole]
ああ	ああ	adverb	ah; like that; that way
確かに	たしかに	adverb	certainly; indeed; for sure	[確: certain/confirm]
実は	じつは	adverb	actually; to tell the truth	[実: truth/reality]
結局	けっきょく	adverb	after all; in the end	[結: tie/conclude | 局: bureau/conclusion]
やはり	やはり	adverb	as expected; after all; still
むしろ	むしろ	adverb	rather; if anything
とりあえず	とりあえず	adverb	for now; first of all
