# Food & cooking kanji (N3). 食飲料理 live in n5/ and n4/.
kanji	onyomi	kunyomi	meaning	radical	radical-name	components	strokes	grade
茶	チャ、サ		tea	艹	くさかんむり	艹、𠆢、木	9	2
酒	シュ	さけ、さか	alcohol; sake	氵	さんずい	氵、酉	10	3
肉	ニク		meat; flesh	肉	にく		6	2
魚	ギョ	うお、さかな	fish	魚	うお	⺈、田、灬	11	2
米	ベイ、マイ	こめ	rice; America	米	こめ		6	2
飯	ハン	めし	cooked rice; meal	食	しょくへん	飠、反	12	4
菜	サイ	な	vegetable; greens	艹	くさかんむり	艹、采	11	4
塩	エン	しお	salt	土	つちへん	土、监	13	4
油	ユ	あぶら	oil	氵	さんずい	氵、由	8	3
卵	ラン	たまご	egg	卩	ふしづくり	卯、丶	7	6
豆	トウ、ズ	まめ	bean; pea	豆	まめ		7	3
麦	バク	むぎ	wheat; barley	麦	むぎ	龶、夂	7	2
焼	ショウ	や(く)、や(ける)	to bake; to burn; to grill	火	ひへん	火、尭	12	4
皿		さら	plate; dish	皿	さら		5	3
