# Emotion & state kanji (N3). 心意 live in n4/mind.tsv; 喜悲 in n3/verbs-mind.
kanji	onyomi	kunyomi	meaning	radical	radical-name	components	strokes	grade
安	アン	やす(い)	peace; ease; cheap	宀	うかんむり	宀、女	6	3
静	セイ、ジョウ	しず(か)、しず(まる)	quiet; calm	青	あお	青、争	14	4
危	キ	あぶ(ない)、あや(うい)	dangerous	卩	ふしづくり	⺈、厂、卩	6	6
険	ケン	けわ(しい)	steep; danger	阝	こざとへん	阝、僉	11	5
幸	コウ	しあわ(せ)、さいわ(い)	happiness; fortune	干	かん	土、䒑、十	8	3
福	フク		fortune; blessing; luck	礻	しめすへん	礻、畐	13	3
笑	ショウ	わら(う)、え(む)	to laugh; to smile	竹	たけかんむり	竹、夭	10	4
泣	キュウ	な(く)	to cry; to weep	氵	さんずい	氵、立	8	4
怖	フ	こわ(い)	scary; afraid	忄	りっしんべん	忄、布	8
情	ジョウ、セイ	なさ(け)	feelings; emotion	忄	りっしんべん	忄、青	11	5
快	カイ	こころよ(い)	pleasant; comfortable	忄	りっしんべん	忄、夬	7	5
悩	ノウ	なや(む)、なや(ます)	to be worried; to suffer	忄	りっしんべん	忄、㛞	10
満	マン	み(ちる)、み(たす)	full; to satisfy	氵	さんずい	氵、㒼	12	4
念	ネン		thought; sense; wish	心	こころ	今、心	8	4
