# Society & government kanji (N3). 国会社事 live in n5/ and n4/.
kanji	onyomi	kunyomi	meaning	radical	radical-name	components	strokes	grade
政	セイ、ショウ	まつりごと	politics; government	攵	ぼくづくり	正、攵	9	5
民	ミン	たみ	people; nation	氏	うじ		5	4
法	ホウ、ハッ	のり	law; method	氵	さんずい	氵、去	8	4
役	ヤク、エキ		role; duty; service	彳	ぎょうにんべん	彳、殳	7	3
官	カン		government official	宀	うかんむり	宀、㠯	8	4
軍	グン		army; military	車	くるま	冖、車	9	4
兵	ヘイ、ヒョウ		soldier	八	はち	斤、八	7	4
戦	セン	たたか(う)、いくさ	war; to fight	戈	ほこ	単、戈	13	4
争	ソウ	あらそ(う)	to dispute; conflict	亅	はねぼう	⺈、ヨ、亅	6	4
平	ヘイ、ビョウ	たい(ら)、ひら	flat; peace; even	干	かん	一、丷、十	5	3
制	セイ		system; to control	刂	りっとう		8	5
党	トウ		party; faction	儿	ひとあし	尚、儿	10	6
史	シ		history	口	くち	口、乂	5	4
領	リョウ		territory; to govern	頁	おおがい	令、頁	14	5
