# Nature & environment kanji (N3). 山川天気雨空花 live in n5/nature.tsv.
kanji	onyomi	kunyomi	meaning	radical	radical-name	components	strokes	grade
風	フウ、フ	かぜ、かざ	wind; style	風	かぜ	几、虫	9	2
雪	セツ	ゆき	snow	雨	あめかんむり	雨、彐	11	2
雲	ウン	くも	cloud	雨	あめかんむり	雨、云	12	2
星	セイ、ショウ	ほし	star	日	ひ	日、生	9	2
光	コウ	ひか(る)、ひかり	light; to shine	儿	ひとあし	⺍、儿	6	2
波	ハ	なみ	wave	氵	さんずい	氵、皮	8	3
湖	コ	みずうみ	lake	氵	さんずい	氵、胡	12	3
岩	ガン	いわ	rock; crag	山	やま	山、石	8	2
石	セキ、シャク	いし	stone	石	いし		5	1
森	シン	もり	forest	木	き	木、木、木	12	1
林	リン	はやし	woods; grove	木	きへん	木、木	8	1
葉	ヨウ	は	leaf	艹	くさかんむり	艹、世、木	12	3
根	コン	ね	root	木	きへん	木、艮	10	3
庭	テイ	にわ	garden; yard	广	まだれ	广、廷	10	3
