# Abstract qualities & classification kanji (N3).
kanji	onyomi	kunyomi	meaning	radical	radical-name	components	strokes	grade
様	ヨウ	さま	manner; way; Mr./Ms.	木	きへん	木、羊、永	14	3
的	テキ	まと	-like; target	白	しろへん	白、勺	8	4
式	シキ		ceremony; style; formula	弋	しきがまえ	工、弋	6	3
性	セイ、ショウ		nature; gender; -ness	忄	りっしんべん	忄、生	8	5
種	シュ	たね	kind; seed; species	禾	のぎへん	禾、重	14	4
類	ルイ		kind; type; sort	頁	おおがい	米、犬、頁	18	4
例	レイ	たと(える)	example; instance	亻	にんべん	亻、列	8	4
案	アン		plan; proposal; idea	木	き	安、木	10	4
別	ベツ	わか(れる)	separate; another; to part	刂	りっとう	另、刂	7	4
共	キョウ	とも	together; both; -共	八	はち	龹、八	6	4
果	カ	は(たす)、は(てる)	fruit; result; to accomplish	木	き	田、木	8	4
然	ゼン、ネン		so; nature; -ly	灬	れっか	肰、灬	12	4
