# Handling, giving & receiving verb kanji (N3). 取持使待 live in n4/.
kanji	onyomi	kunyomi	meaning	radical	radical-name	components	strokes	grade
開	カイ	ひら(く)、あ(く)、あ(ける)	to open	門	もんがまえ	門、开	12	3
閉	ヘイ	と(じる)、し(める)、し(まる)	to close; to shut	門	もんがまえ	門、才	11	6
探	タン	さが(す)、さぐ(る)	to search; to look for	扌	てへん	扌、罙	11	6
守	シュ、ス	まも(る)	to protect; to obey	宀	うかんむり	宀、寸	6	3
受	ジュ	う(ける)、う(かる)	to receive	又	また	爫、冖、又	8	3
得	トク	え(る)、う(る)	to gain; to acquire	彳	ぎょうにんべん	彳、旦、寸	11	4
借	シャク	か(りる)	to borrow	亻	にんべん	亻、昔	10	4
貸	タイ	か(す)	to lend	貝	かい	代、貝	12	5
買	バイ	か(う)	to buy	貝	かい	罒、貝	12	2
売	バイ	う(る)、う(れる)	to sell	士	さむらい	士、冖、儿	7	2
助	ジョ	たす(ける)、たす(かる)	to help; to rescue	力	ちから	且、力	7	3
失	シツ	うしな(う)	to lose	大	だい	𠂉、人	5	4
預	ヨ	あず(ける)、あず(かる)	to deposit; to entrust	頁	おおがい	予、頁	13	6
渡	ト	わた(る)、わた(す)	to cross; to hand over	氵	さんずい	氵、度	12
