# label: Verb — Conditional (〜ば)
# One conditional-ba example per verb class — godan (行く), ichidan (食べる),
# and the irregulars する / 来る. Add more verb roots here to broaden the form.
# Dictionary forms live in verbs/; this deck is the conjugation paradigm.
kanji	hiragana	type	english	breakdown
行けば	いけば	godan-verb	(godan) ば-conditional — if (one) goes	[行: go/travel]
食べれば	たべれば	ichidan-verb	(ichidan) ば-conditional — if (one) eats	[食: eat/food]
すれば	すれば	irregular-verb	(する) ば-conditional — if (one) does
来れば	くれば	irregular-verb	(来る) ば-conditional — if (one) comes	[来: come]
買えば	かえば	godan-verb	(godan) ば-conditional — if (one) buys	[買: buy]
書けば	かけば	godan-verb	(godan) ば-conditional — if (one) writes	[書: write]
泳げば	およげば	godan-verb	(godan) ば-conditional — if (one) swims	[泳: swim]
話せば	はなせば	godan-verb	(godan) ば-conditional — if (one) speaks	[話: speak/talk]
待てば	まてば	godan-verb	(godan) ば-conditional — if (one) waits	[待: wait]
死ねば	しねば	godan-verb	(godan) ば-conditional — if (one) dies	[死: die]
遊べば	あそべば	godan-verb	(godan) ば-conditional — if (one) plays	[遊: play]
飲めば	のめば	godan-verb	(godan) ば-conditional — if (one) drinks	[飲: drink]
取れば	とれば	godan-verb	(godan) ば-conditional — if (one) takes	[取: take]
見れば	みれば	ichidan-verb	(ichidan) ば-conditional — if (one) sees	[見: see/look]
