# label: Verb — Past Negative (〜なかった)
# One past-negative example per verb class — godan (行く), ichidan (食べる),
# and the irregulars する / 来る. Add more verb roots here to broaden the form.
# Dictionary forms live in verbs/; this deck is the conjugation paradigm.
kanji	hiragana	type	english	breakdown
行かなかった	いかなかった	godan-verb	(godan) past negative — did not go	[行: go/travel]
食べなかった	たべなかった	ichidan-verb	(ichidan) past negative — did not eat	[食: eat/food]
しなかった	しなかった	irregular-verb	(する) past negative — did not do
来なかった	こなかった	irregular-verb	(来る) past negative — did not come	[来: come]
買わなかった	かわなかった	godan-verb	(godan) past negative — did not buy	[買: buy]
書かなかった	かかなかった	godan-verb	(godan) past negative — did not write	[書: write]
泳がなかった	およがなかった	godan-verb	(godan) past negative — did not swim	[泳: swim]
話さなかった	はなさなかった	godan-verb	(godan) past negative — did not speak	[話: speak/talk]
待たなかった	またなかった	godan-verb	(godan) past negative — did not wait	[待: wait]
死ななかった	しななかった	godan-verb	(godan) past negative — did not die	[死: die]
遊ばなかった	あそばなかった	godan-verb	(godan) past negative — did not play	[遊: play]
飲まなかった	のまなかった	godan-verb	(godan) past negative — did not drink	[飲: drink]
取らなかった	とらなかった	godan-verb	(godan) past negative — did not take	[取: take]
見なかった	みなかった	ichidan-verb	(ichidan) past negative — did not see	[見: see/look]
