# label: 〜杯 (cupfuls)
# Counter 〜杯 (cupfuls) — counts cups/glassfuls.
# Irregular: 1 いっぱい, 3 さんばい, 6 ろっぱい, 8 はっぱい, 10 じゅっぱい.
kanji	hiragana	type	english
一杯	いっぱい	counter	1 cups/glassfuls
二杯	にはい	counter	2 cups/glassfuls
三杯	さんばい	counter	3 cups/glassfuls
四杯	よんはい	counter	4 cups/glassfuls
五杯	ごはい	counter	5 cups/glassfuls
六杯	ろっぱい	counter	6 cups/glassfuls
七杯	ななはい	counter	7 cups/glassfuls
八杯	はっぱい	counter	8 cups/glassfuls
九杯	きゅうはい	counter	9 cups/glassfuls
十杯	じゅっぱい	counter	10 cups/glassfuls
十一杯	じゅういっぱい	counter	11 cups/glassfuls
十二杯	じゅうにはい	counter	12 cups/glassfuls
十三杯	じゅうさんばい	counter	13 cups/glassfuls
十四杯	じゅうよんはい	counter	14 cups/glassfuls
十五杯	じゅうごはい	counter	15 cups/glassfuls
十六杯	じゅうろっぱい	counter	16 cups/glassfuls
十七杯	じゅうななはい	counter	17 cups/glassfuls
十八杯	じゅうはっぱい	counter	18 cups/glassfuls
十九杯	じゅうきゅうはい	counter	19 cups/glassfuls
二十杯	にじゅっぱい	counter	20 cups/glassfuls
