# Entertainment (Nouns / Media).
# Auto-grouped during the nouns reorg; refine membership as needed.
kanji	hiragana	type	english
番組	ばんぐみ	noun	(program) TV program
映像	えいぞう	noun	visual footage; imagery
写真	しゃしん	noun	photo; picture
映画	えいが	noun	movie; film
音楽	おんがく	noun	music
歌	うた	noun	song
似顔絵	にがおえ	noun	portrait; likeness drawing
主役	しゅやく	noun	leading role; protagonist
劇	げき	noun	play; drama
演劇	えんげき	noun	theater; drama
喜劇	きげき	noun	comedy
司会	しかい	noun	master of ceremonies; hosting
尺八	しゃくはち	noun	shakuhachi (bamboo flute)
幕	まく	noun	curtain; act (of a play)
旋律	せんりつ	noun	melody
悲劇	ひげき	noun	tragedy
放送	ほうそう	noun	broadcast; broadcasting
演奏	えんそう	noun	musical performance
講演	こうえん	noun	lecture; talk
漫才	まんざい	noun	manzai (comic duo routine)
伴奏	ばんそう	noun	musical accompaniment
監督	かんとく	noun	director; coach; supervisor
音符	おんぷ	noun	musical note
絵	え	noun	picture; drawing
絵画	かいが	noun	painting; picture
鍵盤	けんばん	noun	keyboard (musical); keys
彫刻	ちょうこく	noun	sculpture; carving
撮影	さつえい	noun	photography; filming
中継	ちゅうけい	noun	relay broadcast; live coverage
録画	ろくが	noun	video recording
録音	ろくおん	noun	audio recording
