# label: Feeling & Experience
# Intransitive ichidan of feeling, body, behavior, and reaction (疲れる,
# 照れる, 答える, 聞こえる…).
kanji	hiragana	type	english	breakdown
寝る	ねる	ichidan-verb	to sleep; to go to bed	[寝: sleep/lie down]
答える	こたえる	ichidan-verb	to answer; to reply	[答: answer/reply]
覚める	さめる	ichidan-verb	to wake up; to come to senses; (heat) to cool down	[覚: wake/awaken]
触れる	ふれる	ichidan-verb	to touch; to come into contact; to mention briefly	[触: touch/contact]
聞こえる	きこえる	ichidan-verb	to be audible; to be heard	[聞: hear/listen]
しょげる	しょげる	ichidan-verb	to feel down; to be dejected
見える	みえる	ichidan-verb	to be visible; to be able to see	[見: see/be visible]
努める	つとめる	ichidan-verb	to make an effort; to strive	[努: strive/exert]
勤める	つとめる	ichidan-verb	to work for; to be employed at	[勤: work/be employed]
応じる	おうじる	ichidan-verb	to respond; to comply with	[応: respond/comply]
憧れる	あこがれる	ichidan-verb	to long for; to admire	[憧: long for/admire]
拗ねる	すねる	ichidan-verb	to sulk; to be peevish	[拗: sulk/be twisted]
照れる	てれる	ichidan-verb	to be shy; to feel embarrassed	[照: be shy/illuminate]
甘える	あまえる	ichidan-verb	to act spoiled; to presume on another's kindness	[甘: act spoiled/sweet]
疲れる	つかれる	ichidan-verb	to get tired; to be worn out	[疲: get tired]
暴れる	あばれる	ichidan-verb	to rampage; to act violently	[暴: rampage/be violent]
秀でる	ひいでる	ichidan-verb	to excel; to surpass	[秀: excel/surpass]
呆れる	あきれる	ichidan-verb	to be amazed; to be dumbfounded	[呆: be amazed/dumbfounded]
憂える	うれえる	ichidan-verb	to grieve; to worry about	[憂: grieve/worry]
恥じる	はじる	ichidan-verb	to feel ashamed	[恥: feel ashamed/shame]
別れる	わかれる	ichidan-verb	to separate; to part; to break up	[別: separate/part]
