# Prepositions — relate nouns to the rest of the sentence.
spanish	type	english
a	preposition	to; at
de	preposition	of; from
en	preposition	in; on; at
con	preposition	with
sin	preposition	without
por	preposition	for; by; through
para	preposition	for; in order to
sobre	preposition	on; about
bajo	preposition	under
entre	preposition	between; among
hacia	preposition	toward
hasta	preposition	until; up to
desde	preposition	from; since
durante	preposition	during
contra	preposition	against
según	preposition	according to
