# Common verb kanji (N5). One character per row.
kanji	onyomi	kunyomi	meaning	radical	radical-name	components	strokes	grade
行	コウ、ギョウ	い（く）、ゆ（く）、おこな（う）	to go; to carry out	行	ぎょうがまえ	彳、亍	6	2
来	ライ	く（る）、きた（る）	to come	木	き		7	2
出	シュツ	で（る）、だ（す）	to exit; to put out	凵	うけばこ		5	1
入	ニュウ	い（る）、はい（る）、い（れる）	to enter; to put in	入	いる		2	1
見	ケン	み（る）、み（える）、み（せる）	to see; to look	見	みる	目、儿	7	1
聞	ブン、モン	き（く）、き（こえる）	to hear; to ask	耳	みみ	門、耳	14	2
話	ワ	はな（す）、はなし	to talk; story	言	ごんべん	言、舌	13	2
書	ショ	か（く）	to write	曰	ひらび	聿、曰	10	2
読	ドク、トク	よ（む）	to read	言	ごんべん	言、売	14	2
食	ショク、ジキ	た（べる）、く（う）	to eat	食	しょく		9	2
