# World places — foreign cities and regions.
# Belongs here: non-Japanese cities/regions (ニューヨーク, パリ). Countries go in
# countries.tsv; Japanese cities in cities.tsv.
kanji	hiragana	type	english	breakdown
ニューヨーク	ニューヨーク	proper-noun	New York
ハワイ	ハワイ	proper-noun	Hawaii
パリ	パリ	proper-noun	Paris
ロンドン	ロンドン	proper-noun	London
ローマ	ローマ	proper-noun	Rome
北京	ペキン	proper-noun	Beijing	[北: north | 京: capital]
ソウル	ソウル	proper-noun	Seoul
アフリカ	アフリカ	proper-noun	Africa
アジア	アジア	proper-noun	Asia
太平洋	たいへいよう	proper-noun	the Pacific Ocean	[太: thick/great | 平: flat/peace | 洋: ocean]
