# Writing System (Nouns / Language).
# Auto-grouped during the nouns reorg; refine membership as needed.
kanji	hiragana	type	english	breakdown
音読み	おんよみ	noun	on-yomi; Chinese-derived reading	[音: sound | 読: read]
訓読み	くんよみ	noun	kun-yomi; native Japanese reading	[訓: kun-reading/instruction | 読: read]
ひらがな	ひらがな	noun	hiragana
仮名	かな	noun	hiragana and katakana collectively	[仮: provisional/borrowed | 名: name]
片仮名	かたかな	noun	katakana	[片: one-side/fragment | 仮: provisional/borrowed | 名: name]
字	じ	noun	letter; character; handwriting
漢字	かんじ	noun	kanji; Chinese characters	[漢: Chinese/Han | 字: character/letter]
数字	すうじ	noun	number; numeral	[数: number/count | 字: character/letter]
拗音	ようおん	noun	contracted sound; palatalized kana combination	[拗: twist/contract | 音: sound]
促音	そくおん	noun	small tsu; geminate consonant marker	[促: urge/prompt | 音: sound]
長音	ちょうおん	noun	long vowel marker (ー)	[長: long | 音: sound]
撥音	はつおん	noun	syllabic n sound	[撥: flick/repel | 音: sound]
清音	せいおん	noun	unvoiced plain kana	[清: pure/clear | 音: sound]
濁音	だくおん	noun	voiced kana with dakuten marks	[濁: voiced/muddy | 音: sound]
半濁音	はんだくおん	noun	semi-voiced kana with handakuten marks	[半: half | 濁: voiced/muddy | 音: sound]
平仮名	ひらがな	noun	hiragana script	[平: plain/flat | 仮: provisional/borrowed | 名: name]
句読点	くとうてん	noun	punctuation marks	[句: phrase/clause | 読: read | 点: point/dot]
