# Calendar (Nouns / Time).
# Auto-grouped during the nouns reorg; refine membership as needed.
kanji	hiragana	type	english	breakdown
毎月	まいげつ	noun	every month	[毎: every | 月: month/moon]
年越し	としこし	noun	New Year's Eve; passing the year	[年: year | 越: cross over/pass]
平日	へいじつ	noun	weekday	[平: ordinary/plain | 日: day]
毎日	まいにち	noun	every day	[毎: every | 日: day]
曜日	ようび	noun	day of the week	[曜: day of week | 日: day]
明日（あす）	あす	noun	tomorrow	[明: bright/next | 日: day]
日曜日	にちようび	noun	Sunday	[日: sun/day | 曜: day of week]
一日	いちにち	noun	one day	[一: one | 日: day]
土曜日	どようび	noun	Saturday	[土: earth/soil | 曜: day of week | 日: day]
毎週	まいしゅう	noun	every week	[毎: every | 週: week]
日付	ひづけ	noun	date (calendar date)	[日: day | 付: attach/affix]
今日	きょう	noun	today	[今: now | 日: day]
明日	あした	noun	tomorrow	[明: bright/next | 日: day]
昨日	きのう	noun	yesterday	[昨: previous/last | 日: day]
今週	こんしゅう	noun	this week	[今: now/this | 週: week]
来週	らいしゅう	noun	next week	[来: come/next | 週: week]
先週	せんしゅう	noun	last week	[先: previous/ahead | 週: week]
今月	こんげつ	noun	this month	[今: now/this | 月: month/moon]
来月	らいげつ	noun	next month	[来: come/next | 月: month/moon]
去年	きょねん	noun	last year	[去: past/leave | 年: year]
今年	ことし	noun	this year	[今: now/this | 年: year]
来年	らいねん	noun	next year	[来: come/next | 年: year]
週末	しゅうまつ	noun	weekend	[週: week | 末: end]
元旦	がんたん	noun	New Year's Day morning	[元: origin/beginning | 旦: daybreak/morning]
