# label: Adjectives
# Farsi (Persian) — common adjectives, mostly in opposite pairs.
# Columns: word / vocalized (harakat-marked reading, for TTS + learning) / label (romanization) / meaning.
word	vocalized	label	meaning
بزرگ	بُزُرْگ	bozorg	big
کوچک	کوچَک	kuchak	small
خوب	خوب	khub	good
بد	بَد	bad	bad
زیبا	زیبا	zibaa	beautiful
زشت	زِشْت	zesht	ugly
نو	نو	no	new
قدیمی	قَدیمی	ghadimi	old (thing)
پیر	پیر	pir	old (person)
جوان	جَوان	javaan	young
گرم	گَرْم	garm	warm / hot
سرد	سَرْد	sard	cold
بلند	بُلَنْد	boland	tall / long
کوتاه	کوتاه	kutaah	short
سخت	سَخْت	sakht	hard / difficult
آسان	آسان	aasaan	easy
سریع	سَریع	sari	fast
آهسته	آهِسْتِه	aaheste	slow
تمیز	تَمیز	tamiz	clean
کثیف	کَثیف	kasif	dirty
گران	گِران	geraan	expensive
ارزان	اَرْزان	arzaan	cheap
درست	دُرُسْت	dorost	correct
غلط	غَلَط	ghalat	wrong
پر	پُر	por	full
خالی	خالی	khaali	empty
سنگین	سَنْگین	sangin	heavy
سبک	سَبُک	sabok	light (weight)
خوشحال	خوشْحال	khoshhaal	happy
ناراحت	ناراحَت	naaraahat	sad / upset
