# body health kanji (N1).
kanji	onyomi	kunyomi	meaning	radical	radical-name	components	strokes	grade
眼	ガン、ゲン	まなこ	eyeball; eye	目	めへん	目、艮	11	5
傷	ショウ	きず、いた(む)	wound; injury	亻	にんべん	亻、昜	13	6
診	シン	み(る)	to examine (medically); diagnosis	言	ごんべん	言、㐱	12
穴	ケツ	あな	hole; cave; aperture	穴	あな		5	6
姿	シ	すがた	figure; form; appearance	女	おんな	次、女	9	6
微	ビ		delicate; minute; slight	彳	ぎょうにんべん	彳、攵	13
視	シ		to look at; to regard; eyesight	見	みる	礻、見	11	6
尾	ビ	お	tail; end	尸	しかばね	尸、毛	7
眉	ビ、ミ	まゆ	eyebrow	目	め	尸、目	9
肢	シ		limb; member	月	にくづき	月、支	8
症	ショウ		symptoms; illness	疒	やまいだれ	疒、正	10
腐	フ	くさ(る)、くさ(れる)	to rot; to decay	肉	にく	府、肉	14	6
臭	シュウ	くさ(い)、にお(う)	stinking; smell	自	みずから	自、大	9
瞬	シュン	またた(く)	moment; to blink	目	めへん	目、舜	18
刃	ジン	は、やいば	blade; edge; sword	刀	かたな	刀、丶	3
顎	ガク	あご	jaw; chin	頁	おおがい	咢、頁	18
肪	ボウ		fat	月	にくづき	月、方	8
疫	エキ、ヤク		epidemic; pestilence	疒	やまいだれ	疒、殳	9
餓	ガ		to starve; hunger	食	しょくへん	飠、我	15
肝	カン	きも	liver; gut; vital	月	にくづき	月、干	7
脚	キャク、キャ	あし	leg; base; counter	月	にくづき	月、却	11
筋	キン	すじ	muscle; tendon; line; plot	竹	たけかんむり	竹、月、力	12	6
衿	キン	えり	collar; neck	衤	ころもへん	衤、今	9
襟	キン	えり	collar; lapel; neck	衤	ころもへん	衤、禁	18
疾	シツ		rapid; illness; swift	疒	やまいだれ	疒、矢	10
唇	シン	くちびる	lips	口	くち	辰、口	10
娠	シン		pregnancy; with child	女	おんなへん	女、辰	10
睡	スイ		to sleep; drowsy	目	めへん	目、垂	13
旨	シ	むね、うま(い)	purport; delicious; gist	日	ひ	匕、日	6
珠	シュ		pearl; gem; bead	王	おうへん	王、朱	10
殊	シュ	こと	especially; particularly; different	歹	がつへん	歹、朱	10
辱	ジョク	はずかし(める)	shame; disgrace; to humiliate	辰	しんのたつ	辰、寸	10
